Date,Takeaway Amount
29-08-16,7000.00
29-08-16,839.00
31-08-16,420.00
02-09-16,13000.00
03-09-16,422.00
03-09-16,106.00
04-09-16,7399.00
05-09-16,633.00
05-09-16,3165.00
11-09-16,3600.00
11-09-16,35700.00
13-09-16,5000.00
17-09-16,30175.00
17-09-16,8100.00
21-09-16,158.00
23-09-16,211.00
25-09-16,317.00
25-09-16,280.00
25-09-16,20000.00
25-09-16,15000.00
26-09-16,29540.00
29-09-16,633.00
01-10-16,211.00
04-10-16,4501.00
06-10-16,422.00
06-10-16,14000.00
07-10-16,560.00
10-10-16,317.00
12-10-16,1055.00
13-10-16,1266.00
13-10-16,422.00
16-10-16,9000.00
18-10-16,4620.00
19-10-16,200.00
26-10-16,500.00
26-10-16,500.00
26-10-16,6149.00
27-10-16,317.00
27-10-16,317.00
27-10-16,9900.00
04-11-16,317.00
04-11-16,21280.00
04-11-16,4000.00
05-11-16,132.00
06-11-16,4748.00
06-11-16,8925.00
07-11-16,228.00
08-11-16,672.00
08-11-16,896.00
09-11-16,1792.00
09-11-16,127.00
09-11-16,224.00
10-11-16,1344.00
10-11-16,317.00
11-11-16,1344.00
11-11-16,158.00
12-11-16,158.00
13-11-16,475.00
15-11-16,475.00
15-11-16,224.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
15-11-16,500.00
16-11-16,224.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
16-11-16,500.00
17-11-16,15000.00
17-11-16,17500.00
17-11-16,40000.00
17-11-16,30000.00
17-11-16,14463.00
17-11-16,4000.00
17-11-16,31500.00
17-11-16,3482.00
17-11-16,224.00
17-11-16,158.00
17-11-16,1018.00
18-11-16,224.00
19-11-16,224.00
20-11-16,672.00
20-11-16,7800.00
21-11-16,1120.00
21-11-16,158.00
22-11-16,158.00
22-11-16,224.00
22-11-16,1568.00
23-11-16,224.00
23-11-16,158.00
23-11-16,2464.00
24-11-16,1568.00
25-11-16,1344.00
26-11-16,224.00
26-11-16,1372.00
26-11-16,448.00
27-11-16,50000.00
30-11-16,448.00
03-12-16,5780.00
03-12-16,5780.00
03-12-16,5780.00
03-12-16,12000.00
04-12-16,20000.00
05-12-16,1120.00
10-12-16,1618.00
12-12-16,23974.00
15-12-16,12900.00
15-12-16,1000.00
15-12-16,1000.00
15-12-16,500.00
17-12-16,1166.00
17-12-16,4251.00
17-12-16,2549.00
17-12-16,10201.00
17-12-16,4300.00
19-12-16,3786.00
19-12-16,14806.00
19-12-16,14806.00
19-12-16,14806.00
19-12-16,14806.00
20-12-16,2638.00
23-12-16,19802.00
25-12-16,17000.00
25-12-16,13049.00
27-12-16,68001.00
29-12-16,317.00
31-12-16,4050.00
01-01-17,27450.00
02-01-17,11050.00
02-01-17,3200.00
02-01-17,2800.00
03-01-17,6014.00
06-01-17,2450.00
07-01-17,106.00
07-01-17,16500.00
07-01-17,317.00
08-01-17,13950.00
09-01-17,4000.00
11-01-17,317.00
11-01-17,27050.00
11-01-17,11250.00
20-01-17,317.00
20-01-17,211.00
22-01-17,1055.00
22-01-17,528.00
22-01-17,211.00
27-01-17,528.00
28-01-17,2743.00
28-01-17,422.00
28-01-17,3292.00
29-01-17,31500.00
29-01-17,8800.00
29-01-17,8400.00
01-02-17,317.00
06-02-17,72053.00
09-02-17,9900.00
09-02-17,2532.00
10-02-17,633.00
11-02-17,7700.00
12-02-17,90000.00
13-02-17,140.00
13-02-17,158.00
15-02-17,480.00
18-02-17,5297.00
19-02-17,36000.00
19-02-17,10000.00
20-02-17,500.00
20-02-17,15000.00
21-02-17,179400.00
21-02-17,3165.00
22-02-17,12650.00
22-02-17,6000.00
26-02-17,13500.00
28-02-17,158.00
02-03-17,1688.00
02-03-17,1161.00
03-03-17,7596.00
03-03-17,18000.00
03-03-17,18000.00
03-03-17,18000.00
04-03-17,158.00
04-03-17,7800.00
05-03-17,15000.00
05-03-17,7150.00
06-03-17,9000.00
06-03-17,158.00
07-03-17,440.00
07-03-17,251.00
08-03-17,158.00
08-03-17,476.00
09-03-17,158.00
09-03-17,476.00
10-03-17,500.00
11-03-17,72100.00
13-03-17,4000.00
13-03-17,4000.00
13-03-17,6750.00
13-03-17,900.00
13-03-17,11000.00
14-03-17,2057.00
15-03-17,5600.00
17-03-17,7600.00
18-03-17,33749.00
19-03-17,6600.00
20-03-17,4000.00
20-03-17,158.00
22-03-17,982.00
23-03-17,60500.00
26-03-17,5250.00
26-03-17,9000.00
31-03-17,13600.00
31-03-17,9000.00
31-03-17,9000.00
31-03-17,9000.00
31-03-17,5550.00
01-04-17,33074.00
05-04-17,1065.00
05-04-17,1400.00
05-04-17,1344.00
05-04-17,1400.00
05-04-17,1400.00
05-04-17,1400.00
06-04-17,401.00
06-04-17,401.00
06-04-17,401.00
06-04-17,401.00
06-04-17,401.00
06-04-17,401.00
07-04-17,317.00
07-04-17,158.00
09-04-17,317.00
09-04-17,7500.00
09-04-17,1500.00
09-04-17,1500.00
11-04-17,700.00
11-04-17,950.00
11-04-17,158.00
12-04-17,243.00
13-04-17,317.00
13-04-17,21850.00
15-04-17,14600.00
21-04-17,7200.00
